GPR153	 MAPK3,MAPK1,MAPK12,EGFR,MAPK14,MAPK10,MAPK11,MAPK13,MAPK6,MAPK7
ACOT7	 ATXN1,NHLRC2,RCC2,ATXN1L,TNFAIP8,SUMO1,PDIA3,GAPDH,POT1,SORD
HES2	 NOTCH1,TNF,NFKB1,NOTCH2,IL6,NOTCH4,NOTCH3,RELA,FOS,JUN
ESPN	 MYO3A,ACTA1,ACTC1,MIR4329,MYO1C,MYO1A,CORO1A,RCSD1,ARHGAP6,IQGAP1
TNFRSF25	 TNFSF15,TRAF2,INS,TNFSF12,BAG4,RIPK1,PGF,MAPK1,FADD,TNFRSF25
PLEKHG5	 RHOT1,RHOT2,LNX2,RAC1,RAC2,RAC3,LNX1,RHOQ,RHOV,RHOU
NOL9	 LAS1L,SIRT7,BARD1,SUMO2,ILK,PELP1,UBC,SOX2,MYC
TAS1R1	 TAS1R3,GNAT3
ZBTB48	 C7orf34,ZBTB8A,DVL3,PNRC2,ILK,TNFRSF14,C11orf58,RGS2,NUDT21,CDK2AP2
KLHL21	 PLK1,CUL3,RBX1,HDAC3,KLHL20,KLHL22,BIRC5,COPS5,POLB,KIFAP3
PHF13	 GLTPD1
THAP3	 OGT,APP,HCFC1,UBC
DNAJC11	 RPS6KA5,RPN1,MT-CO2,RPL26,UFL1,HSPA6,ATP5J2,PTPLAD1,RPN2,DHCR7
CAMTA1	 ALB,QTRTD1,MYL4,APOC3,APOC1,SLC25A13,TIAM1,KIAA1551,LDB3,SPATA31A7
VAMP3	 SLC2A4,NELFE,SNAP23,CA2,STX4,VAMP8,BCAP31,NAPB,SNAP25,INS
PER3	 CSNK1D,CRY1,PER2,CSNK1E,PER1,ARNTL,CLOCK,ATM,CRY2,CHEK2
UTS2	 EPHB2,MAPK3,INS,MAPK14,MAPK13,UTS2R,MAPK11,MAPK12,MAPK1,MAPK6
TNFRSF9	 TNFSF9,TNF,TRAF2,TRAF3,TRAF1,IFNG,MAPK14,MAPK15,MAPK10,MAPK11
PARK7	 IFNG,IL2,PARK7,IL5,IL10,SNCA,DAXX,TNF,PPP2R1A,IL4
ERRFI1	 GRB2,ERBB2,SFN,EGF,ERBB3,ALK,CDC42,YWHAZ,HSPA2,HIST1H4A
SLC45A1	 PPP1CA
RERE	 ATN1,CBFA2T2,ZMYND8,PRRC2B,PRRC2A,TRIM22,EFEMP2,EFEMP1,RBFOX2,PSMA3
ENO1	 PLG,TRAPPC2,AGTPBP1,MYC,PXN,SUMO2,SUMO4,RAD52,ITGA4,FLNC
CA6	 PTH,TPM4,TPM3,TPM2,TPM1,GAST,FCGRT,ADCY10,S100A12
SLC2A5	 RPSA,CCL5,SLC2A1,AKT1,AKT2,AKT3
GPR157	 MAPK3,MAPK1,MAPK12,EGFR,MAPK14,MAPK10,MAPK11,MAPK13,MAPK6,MAPK7
MIR34A	 SIRT1,TP53,CDKN1A,MYLIP
H6PD	 INS,QRICH1,QRICH2,COA5,COA4,COA6,COA1,COA3,FBXO6
SPSB1	 TCEB1,KDM1A,RNF7,TCEB2,CUL5,SUV39H1,PRMT1,PRMT6,RASA1,MET
SLC25A33	 YAE1D1,RPN1,MT-CO2,AGK,HSPA4,ATP5J2,RPL21,HUWE1,RPN2,TIMM50
TMEM201	 WNT3,WNT2,WNT1,WNT6,WNT16,WNT4,WNT11,SUN5,UBC,LMNA
PIK3CD	 PIK3CA,PIK3R1,PIK3R2,HRAS,ASCC2,PIK3CB,PIK3R3,JAK2,JAK3,JAK1
CLSTN1	 MCM3AP,SETDB1,BAHCC1,SLK,TRIP12,APBA2,APBB1,TOPBP1,HIST1H4A,HSPG2
CTNNBIP1	 CTNNB1,JUP,BEND5,PPP2R1A,RPA3,PNMA2,AXIN1,CTSA,GOT2,CPVL
LZIC	 IKBKG,THAP1,UBC
NMNAT1	 NMNAT1,SIK1,NEK3,NAMPT,PARP1,NTRK2,FLOT2,MSX1,LARS,SIRT1
RBP7	 CES1,TTR
UBE4B	 RAD23A,RAD23B,UBE2D2,UBXN1,TP53,GZMB,ATXN3,NPLOC4,UBE2D3,ANKZF1
MIR1273D	 EIF2B2
KIF1B	 YWHAG,DLG1,STARD13,DLG4,KIF1C,EEF1A1,KIF5B,GIPC1,KLC1,KLC2
PGD	 PTGS2,PTGDS,IRF6,CA2,ADCY5,ADCY6,ADCY1,ADCY2,ADCY4,ADCY7
CORT	 CRH,IRF6,PRL,IL6,BDNF,IL1A,IL1B,SSTR1,SSTR5,AMPH
DFFA	 CASP10,CASP12,CASP14,CASP16,CASP6,CASP7,CASP4,CASP5,CASP2,CASP3
PEX14	 PEX5,SMARCC2,MED8,ZHX1,PEX13,PEX7,DHRS4,PEX26,PEX11A,GNPAT
CASZ1	 APP
TARDBP	 EXOSC10,XRN2,SOD1,NSFL1C,SETDB1,ZHX1,HDAC6,CASP7,CASP3,KPNA2
MASP2	 MBL2,MASP1,C4A,FCN1,MAP4,MAP6,MAP10,MAP2,SERPING1,C4B
SRM	 SRM,QARS,ITGA4,ATP5C1,SOX12,IPO5,EIF4A1,DDA1,VARS,EIF6
EXOSC10	 EXOSC9,EXOSC7,UPF1,ZFP36,EXOSC4,EXOSC8,EXOSC5,DIS3,UPF2,XRN2
MTOR	 AKT1,AKT2,AKT3,INS,PRKAG1,PRKAG2,PRKAA2,PRKAA1,PRKAB1,PRKAB2
ANGPTL7	 ANGPTL7,APP
UBIAD1	 SOAT1,VEGFA,HMGCR,UBC
FBXO2	 CUL1,RBX1,SKP1,AHSG,ITGB1,FBXO17,IQCB1,TRIM21,FBXL7,CCNF
FBXO44	 SKP1,ACVR1,COPS6,FBXO17,COPS5,BMPR1B,SKP2,CUL1,TGFBR1,SMAD1
FBXO6	 SKP1,CUL1,RBX1,FBXO17,FBXL7,CCNF,VCP,USP47,FBXO31,FBXO2
MAD2L2	 REV3L,ADAM9,MAD2L1,PRRC2A,CDC20,MAD2L2,FZR1,CDC27,ANAPC11,ANAPC13
AGTRAP	 PITPNC1,PBX3,AGTRAP,GNB2L1,AGTR1,PDHX,UBE2I,ARFIP2,WDYHV1,TMEM14B
MTHFR	 NAA38,PSMA1,PSMB1,MAD2L1,AADAT,NAGS,SLC25A2,IDH1,PBLD,PSAT1
CLCN6	 UBC
NPPA	 REN,EDN1,AVP,NPR1,ANG,CA2,EDN3,EDN2,CNP,NPR3
NPPB	 CFTR,EWSR1,AKT1,NPR1,NPR3,CA2,HSF1,TRMT112,HIST1H4A,UBQLN1
KIAA2013	 TOMM40,COX5A,PHB2,MMGT1,PRDX4,FBXO6,VDAC2,VDAC3,COX6B1,VDAC1
PLOD1	 MAP3K3,P4HB,GNRH1,PLOD3,PLOD1,PDIA3,HIST1H4A,DYNLL1,CPM,FKBP10
MFN2	 PGC,INS,MFN2,FIS1,MAVS,DOCK9,WWP2,ERBB2IP,SMAD4,HUWE1
MIIP	 PPP1CA,HDAC6,EGR1
TNFRSF8	 RELA,NFKB1,IL4,TNFSF8,IFNG,IL6,TRAF3,TRAF1,TNF,ICAM1
TNFRSF1B	 TNF,RELA,NFKB1,NGF,TNFRSF1A,TRAF1,TRAF2,CASP10,CASP14,CASP16
VPS13D	 MADD,UBC,ESR1
DHRS3	 TP63,UBC
PRAMEF12	 UBC
PRAMEF1	 UBC
HNRNPCL1	 SREK1,EIF2AK2,TP63,HNRNPC,HIST1H4A,MOV10,CPM,HSPA5,SUMO1,HSPA8
PRAMEF2	 UBC
PRAMEF10	 UBC
PRAMEF13	 UBC
PRAMEF14	 UBC
PRAMEF17	 UBC
PDPN	 TOM1L1
PRDM2	 ESR1,RB1,SRC,HIST3H3,SOD2,TAF1,E2F1,SP1,PGR,PRDM2
KAZN	 COIL,PPL,UBC
TMEM51	 MRPL12,WNT3,WNT2,WNT1,WNT6,WNT4,WNT16,WNT11,CREB3
EFHD2	 PAN2,COASY,RAD51D,DCK,LRRK2,TSTA3,CHMP4A,APP,VIM,CASP9
CTRC	 NEDD8,SERPINA3,PLAUR,CPA1,CPA5,SPINK1,PHKG1,ST13
CELA2A	 CPA1,CPA5
CELA2B	 CPA1,CPA5
CASP9	 BCL2,BAX,FAS,TNF,PARP1,PARP14,PARP15,PARP12,PARP10,PARP16
DNAJC16	 UBC
